stopId,stopPublicId,name,coordinate,type,flag,stopAccessibilityMask,lines,directionPerLine,id
4724,4724,NINTH LINE / CORNELL PARK AV,"{'lat': 43.888326, 'lon': -79.237043}",S,,1,['009'],['NORTHBOUND'],4724
4725,4725,NINTH LINE / FINCHAM AV,"{'lat': 43.891424, 'lon': -79.237906}",S,,0,['009'],['NORTHBOUND'],4725
4726,4726,NINTH LINE / WHITE'S HILL AV,"{'lat': 43.894395, 'lon': -79.238615}",S,,1,['009'],['NORTHBOUND'],4726
1770,1770,NINTH LINE / 16TH AV,"{'lat': 43.897522, 'lon': -79.239368}",S,,1,"['009', '417']","['NORTHBOUND', 'AFTERNOON']",1770
4766,4766,NINTH LINE / NORTHVALE RD,"{'lat': 43.899888, 'lon': -79.239967}",S,,1,"['009', '417']","['NORTHBOUND', 'AFTERNOON']",4766
4765,4765,NINTH LINE / BUR OAK AV,"{'lat': 43.902051, 'lon': -79.240465}",S,,1,"['009', '417']","['NORTHBOUND', 'AFTERNOON']",4765
1771,1771,NINTH LINE / DONALD COUSENS PKWY,"{'lat': 43.904857, 'lon': -79.240643}",S,,0,"['009', '417']","['NORTHBOUND', 'AFTERNOON']",1771
5852,5852,NINTH LINE / MAJOR MACKENZIE DR,"{'lat': 43.91529, 'lon': -79.243825}",S,,1,"['009', '417']","['NORTHBOUND', 'AFTERNOON']",5852
5856,5856,NINTH LINE STOP # 5856,"{'lat': 43.919984, 'lon': -79.244991}",S,,0,"['009', '417']","['NORTHBOUND', 'AFTERNOON']",5856
5854,5854,NINTH LINE  STOP # 5854,"{'lat': 43.925673, 'lon': -79.246432}",S,,0,"['009', '417']","['NORTHBOUND', 'AFTERNOON']",5854
15449,5725,NINTH LINE / ELGIN MILLS RD,"{'lat': 43.932974, 'lon': -79.248152}",S,,1,"['009', '417']","['NORTHBOUND', 'AFTERNOON']",5725
5090,5090,NINTH LINE STOP # 5090,"{'lat': 43.939015, 'lon': -79.249689}",S,,0,"['009', '417']","['NORTHBOUND', 'AFTERNOON']",5090
5457,5457,NINTH LINE / 19TH AV,"{'lat': 43.950602, 'lon': -79.252392}",S,,1,"['009', '417']","['NORTHBOUND', 'AFTERNOON']",5457
5640,5640,NINTH LINE / REEVES WAY BLVD,"{'lat': 43.95487, 'lon': -79.253383}",S,,1,"['009', '417']","['NORTHBOUND', 'AFTERNOON']",5640
16005,6234,REEVES WAY BLVD / NORTHWAY AV,"{'lat': 43.955606, 'lon': -79.251185}",S,,0,"['009', '414', '415', '417', '417']","['NORTHBOUND', 'MORNING', 'AFTERNOON', 'MORNING', 'AFTERNOON']",6234
17816,7433,REEVES WAY BLVD / JAMES MCCULLOUGH,"{'lat': 43.957105, 'lon': -79.248781}",S,,1,"['009', '414', '415', '417', '417']","['NORTHBOUND', 'MORNING', 'AFTERNOON', 'MORNING', 'AFTERNOON']",7433
5450,5450,REEVES WAY BLVD / WILLIAM STARK RD,"{'lat': 43.958681, 'lon': -79.245769}",S,,1,"['009', '414', '415', '417', '417']","['NORTHBOUND', 'MORNING', 'AFTERNOON', 'MORNING', 'AFTERNOON']",5450
5451,5451,REEVES WAY BLVD / JOSEPH TODD AV,"{'lat': 43.959183, 'lon': -79.242335}",S,,1,"['009', '414', '415', '417', '417']","['NORTHBOUND', 'MORNING', 'AFTERNOON', 'MORNING', 'AFTERNOON']",5451
5453,5453,REEVES WAY BLVD / RICHARD UNDERHILL,"{'lat': 43.960949, 'lon': -79.241966}",S,,1,"['009', '414', '415', '417', '417']","['NORTHBOUND', 'MORNING', 'AFTERNOON', 'MORNING', 'AFTERNOON']",5453
5452,5452,REEVES WAY BLVD / HOOVER PARK DR,"{'lat': 43.964791, 'lon': -79.243212}",S,,1,"['009', '414', '415', '417', '417']","['NORTHBOUND', 'MORNING', 'AFTERNOON', 'MORNING', 'AFTERNOON']",5452
